label,id,value
nitrogen,1,nitrogen
boron,2,boron
arsenic,3,arsenic
phosphorus,4,phosphorus
hydrogen,5,hydrogen
lithium,6,lithium
total sodium as sodium oxide,7,total sodium as sodium oxide
total magnesium as magnesium oxide,8,total magnesium as magnesium oxide
total aluminum as aluminum oxide,9,total aluminum as aluminum oxide
total silicon as silicon dioxide,10,total silicon as silicon dioxide
total phosphorus as phosphorus pentoxide,11,total phosphorus as phosphorus pentoxide
total sulfur as sulfur trioxide,12,total sulfur as sulfur trioxide
total potassium as potassium oxide,13,total potassium as potassium oxide
total calcium as calcium oxide,14,total calcium as calcium oxide
total titanium as titanium (IV) oxide,15,total titanium as titanium (IV) oxide
total chromium as chromium (III) oxide,16,total chromium as chromium (III) oxide
total manganese as manganese (III) oxide,17,total manganese as manganese (III) oxide
total iron as iron (III) oxide,18,total iron as iron (III) oxide
total zinc as zinc oxide,19,total zinc as zinc oxide
total strontium as strontium oxide,20,total strontium as strontium oxide
chloride,21,chloride
acid,22,acid
oxidants expressed as potassium dichromate,23,oxidants expressed as potassium dichromate
total acid expressed as potassium hydrogen phthalate,24,total acid expressed as potassium hydrogen phthalate
total halides (except F) expressed as potassium chloride,25,total halides (except F) expressed as potassium chloride
reductants expressed as arsenic(III) oxide,26,reductants expressed as arsenic(III) oxide
total acid expressed as amidosulfuric acid,27,total acid expressed as amidosulfuric acid
glucose (d-glucose),28,glucose (d-glucose)
creatinine,29,creatinine
"p,p'-DDE",30,"p,p'-DDE"
"p,p'-DDT",31,"p,p'-DDT"
gamma-HCH,32,gamma-HCH
alpha-endosulfan,33,alpha-endosulfan
beta-endosulfan,34,beta-endosulfan
chloroform,35,chloroform
naphthalene,36,naphthalene
acenaphthylene,37,acenaphthylene
acenaphthene,38,acenaphthene
fluorene,39,fluorene
phenanthrene,40,phenanthrene
pyrene,41,pyrene
benzo[a]anthracene,42,benzo[a]anthracene
chrysene,43,chrysene
benzo[a]pyrene,44,benzo[a]pyrene
"dibenz[a,h]anthracene",45,"dibenz[a,h]anthracene"
PCB 28,46,PCB 28
PCB 101,47,PCB 101
PCB 153,48,PCB 153
PCB 170,49,PCB 170
bromodichloromethane,50,bromodichloromethane
"dibromochloro
methane",51,"dibromochloro
methane"
bromoform,52,bromoform
benzene,53,benzene
toluene,54,toluene
ethylbenzene,55,ethylbenzene
o-xylene,56,o-xylene
p-xylene,57,p-xylene
ethanol,58,ethanol
fluoranthene,59,fluoranthene
"benzo[g,h,i]perylene",60,"benzo[g,h,i]perylene"
PCB 105,61,PCB 105
fenitrothion,62,fenitrothion
parathion,63,parathion
diazinon,64,diazinon
BDE 209 (decabromodiphenyl ether),65,BDE 209 (decabromodiphenyl ether)
"2,2',3,3',4,4',5,5',6-nonabromodiphenyl ether",66,"2,2',3,3',4,4',5,5',6-nonabromodiphenyl ether"
acetanilide,67,acetanilide
bilirubin,68,bilirubin
cholesterol,69,cholesterol
sucrose,70,sucrose
tripalmitin,71,tripalmitin
urea,72,urea
uric acid,73,uric acid
d-mannitol,74,d-mannitol
m-xylene,75,m-xylene
"1,2,3-trimethylbenzene",76,"1,2,3-trimethylbenzene"
"1,3,5-trimethylbenzene",77,"1,3,5-trimethylbenzene"
"1,2,4-trimethylbenzene",78,"1,2,4-trimethylbenzene"
styrene,79,styrene
n-hexane,80,n-hexane
n-heptane,81,n-heptane
n-octane,82,n-octane
n-nonane,83,n-nonane
n-decane,84,n-decane
n-undecane,85,n-undecane
n-dodecane,86,n-dodecane
cadmium,87,cadmium
lead,88,lead
silicon dioxide,89,silicon dioxide
hexachlorobenzene,90,hexachlorobenzene
"2,4'-DDE",91,"2,4'-DDE"
cis-chlordane,92,cis-chlordane
trans-nonachlor,93,trans-nonachlor
"4,4'-DDD",94,"4,4'-DDD"
"4,4'-DDE",95,"4,4'-DDE"
aldrin,96,aldrin
heptachlor epoxide,97,heptachlor epoxide
"4,4'-DDT",98,"4,4'-DDT"
lindane,99,lindane
anthracene,100,anthracene
